ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
B0742MLKBT,R1R8LAVOLISTI4,Gerardo Rodriguez,/gp/profile/amzn1.account.AHBFE6DLP5DOVEH2LKEC4A672TNA/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"September 21, 2017",4,The camera is great. Always loved taking pictures but when I was ...,One,,,"The camera is great. Always loved taking pictures but when I was younger, I already knew Mom would not be able to afford one. Bought my own once I graduated. Worked but was to help Mom with bills. First dslr and have to say absolutely love it. To be quite honest, was between this and the T7i. Don’t regret it. Was so worried about the difference in focus points but have to say, does not affect me not one so ever. But only problem is this came with the shutter remote and does not seem to work. I’ve read plenty of the manual book and does not mention anything of how to install it. I’ve gone to drive mode and looked for the continuous shooting and remote but can not find option. Help ?
Read more"
B0742MLKBT,R25T4RX5FWYW61,Michael,/gp/profile/amzn1.account.AEUMEF6WSALV46SP25XPSPJRLKRA/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"April 20, 2018",3,"Lenses only fits onto lenses that are φ58, Same with the filters",2,,,"Perfect sized camera in my opinion, even though it is small. Everything in the kit works, But the two lenses require properly sized lenses to fit them onto. I have a 50mm f1.8 and it does not fit the lens. The bag is perfect and fits my lens and the body easily along with some things from this kit. The flash works and requires 2 AA batteries. The only big downside is that the lenses don't fit along with the filters, eventually I'll buy a lens that will fit these two but it was a big downside. Only reason why I gave it a 3 star rating but everything else is 5 stars!
Read more"
B0742MLKBT,R26FZ9SGGGVCV5,John Montgomery,/gp/profile/amzn1.account.AHE23FAHQZNP2F73CQ4TJMP34EMQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"February 5, 2018",5,What a Great Camera!,One,,,"What a great camera!  The auto focus capabilities for the SL2 are amazing.  It is very small for a DSLR and it makes my videos look great.  Highly recommend this camera for beginners or even intermediate photographers.  Well done Canon.
Read more"
B0742MLKBT,R2BPUIZYRB3ZMP,Tarek Lasheen,/gp/profile/amzn1.account.AEZJMVLPJMGXTROO5MPZ3RZGRWJQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"May 8, 2018",5,Nice but could be nicer,4,,,"Love it,You get all whats in the picture which is nice but..... and this is a big but- the tripod is useless unless used indoor, (very light and made from aluminum type material) with any decent lens the whole thing will be unstable, fully extended it stands 105cm or 41 inches- All the lenses and filters that came with the bundle do not fit 50, 18-135, lenses so useless, unless you get the 58 lens- the remote is useless as it its cord is too short and you can use your mobile phone as a remote and to download all the photos- Bag is nice... I like the bag (not too big and not too small)- Flash is ok but not professionalIn short get the combo for the following extras:-Bag-Memory cardThere is a newer bundle that offers a camera lens for extra 50 bucks get ithttps://www.amazon.com/Canon-Camera-18-55mm-Accessory-Bundle/dp/B073HLG3QC/ref=sr_1_2_sspa?s=electronics&ie=UTF8&qid=1525774507&sr=1-2-spons&keywords=sl2&psc=1
Read more"
B0742MLKBT,R2X252W25JA3TJ,Jake A.,/gp/profile/amzn1.account.AHJ4FMJJB4HWXAAIF2LYNFW5ZH3Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"February 7, 2018",5,Great deal for the overall package with one weak point.....,2,,,"Overall, this is an amazing deal for this camera since the price is the same as just the Body alone.  The bag is nice and has plenty of room in it for starting out, and everything in the picture was there.The major drawback I can say about this kit is the tripod they give you with this is a total paperweight.  The bottom portion of the legs are about as thick as a #2 pencil and it does not provide much support at all for this.  I would advise anyone that plans to shoot on a tripod to invest in a better one from the start.  I would not give this enough to knock a star off of the rating though as all of the extras are pretty much free at this price.  It came well packaged and on time from this seller.
Read more"
B0742MLKBT,R30B3AMDUWYUCJ,HSSimplified,/gp/profile/amzn1.account.AHNWGTRAAGAV3C5M2AQG47YGPGUA/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"May 22, 2019",5,Perfect for YouTube and Product Photography,,,,"This camera has provided a major upgrade to my video/photography business! The auto focus is amazing and the clarity of my shots are superb. Built-in WIFI makes it amazing for remote shooting and simple sharing on the go. This thing really does it all. So much so, that I will probably buy another to have for a second angle.
Read more"
B0742MLKBT,R3GYVH5PL4VE3J,JB,/gp/profile/amzn1.account.AE5YWERPDNA7INEP4QNVID7AR6OA/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"May 23, 2018",5,Awesome Camera!,One,,,"Love the SL2.  Takes great photos and competes with cameras almost twice its price.  I thin it's worth every penny.other than the SD card, most of the other accessories are kind of cheap ..the carrying bag is small which is handy if you're not wanting the bulk of a bigger bag (like on a quick get away)
Read more"
B0742MLKBT,RQMR9BLO6HTYE,Lawrence or Christine Dol,/gp/profile/amzn1.account.AFMVKFZYARS76ZK24WZO3OWYQUEQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8,"April 19, 2018",5,An Excellent Choice -- Thoroughly Satisfied.,7,,,"The body alone is worth the sell-price of this package, and the accessories are just a bonus. It's been a long while now since I bought my Digital Rebel XTi, way back at the beginning of 2007, and I am thoroughly satisfied with this upgrade to the 2017 SL2 model. I vacillated between the SL2 and the T6i, but finally concluded that the SL2 advantages, slight though they were, are better suited to the kind of photography I most enjoy (which is nature, animals, still-life and macro). The SL2 represents a major, major update over my old XTi -- as you'd expect after 10 years.Overall, this is another excellent camera, from a thoroughbred line and I am very pleased. I recommend getting an additional memory card and the OAproda LP-E17 battery 2-Pack with USB charger (https://smile.amazon.com/gp/product/B071SFNX2F/) to go with it. There is a noticeable improvement in the photos taken, even with the same lens, when compared to my older camera.Highlights: The focusing system is excellent, and very fast. Live view is wonderful for framing in awkward shooting positions (e.g. close to the ground) and for tripod work with remote release. The higher pixel density provides much better options for cropping while still being able to produce large prints from the resulting images (especially if the print service uses optical enlargement instead of digital). The colors and exposure automatic setting work much better than my old camera (though I always post-process in DP4). Low-light seems vastly improved, with less noise at the same ISO, but I have yet to use it in a really demanding situation. The feature set is really, really good. I love the triple-shot automatic HDR mode -- it works really well. The menu and settings are very well done and easy to use. Button placement is well thought out and also easy to use.Complaints: None, so far.Accessories: These range from necessary to useful to complete crap. Necessary are strap, charger, battery, memory card (fast and large), card-reader, remote shutter release (a really useful add-on). Useful are the camera bag, flash, flash-extension arm, video handstrap, lens adapters (surprisingly good as a *starter* for macro and telephoto work), and lens filters (UV, C-Polariser and Florescent). Crap are the tripod (don't breathe, it'll shake) and flash shades. The accessories were mainly useful to me in combining with my old body and one lens, to a kit for my kids. The accessories do provide a good starting base and I would have been happy to get them if I was starting out.The flash is nowhere near as good as my Canon SpeedLite but better and more versatile than the built-in. The flash arm was a nice touch.The lens adapters are surprisingly higher quality than I expected, and my kids are putting them to good use -- which suits me fine as I really don't like them using my high-end macro/portrait lens.The camera bag is good as a starter, but on the small size. Really just room for the camera, principle lens, one extra lens and some accessories. My equipment wouldn't fit, and the kids outfit fills it up. Still, not bad at all.Caveat: There is one interesting caveat with this offering. As an upgrade kit for most buyers half of the accessories are redundant and worthless. But for a first-time buyer, the lack of a lens is a huge oversight. So the perfect buyer is someone with an existing Canon EOS camera looking to pass along the old camera body with the kit len(es) that came with the original purchase (as I was).
Read more"
ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
B077966DHV,R167A6UDHOKTC2,Jerome,/gp/profile/amzn1.account.AEPJZB2RTTJEE37DRN4F5XVYCMKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"March 22, 2018",5,"Don’t listen to naysayers, this is an amazing camera.",11,0,Verified Purchase,"This camera is a joy to use and takes amazing pictures. The evaluative metering works ridiculously well, even pulling off metering of backlit subjects with very little compensation needed. The auto white balance basically can’t be fooled and is the best I’ve ever seen. The touch screen with flippy ability is a pleasure to use. The remote app for your phone actually works unlike some other brands, and you can control your camera with your phone.Reviewers biggest complaint is about dynamic range. Yes it’s true that it’s range is not as big as some, however, if you’re not trying to lift the shadows of an underexposed by two stops image, you’ll never notice. As it is, the pictures this thing takes when correctly exposed are marvelous. It’s fantastic in low light too, with usable images at even 12800 iso.The 6d2 is also a very comfortable camera to hold. It’s ergonomics are top notch. I do wish the outer material was the same as the 5d series, but it’s a comfortable grip nonetheless. The controls are well placed, and once set up you rarely have to dive into a menu.If you plan to record video or do any vlogging, the face tracking rarely falters. It’s pretty remarkable. You can confidently record yourself without worrying about focus, even while walking around town.Overall, the camera is a joy to use, and anyone complaining about it, hasn’t used one, or is just letting numbers cloud their judgment.
"
B077966DHV,R1XGVM8R918DBS,Phillip King,/gp/profile/amzn1.account.AHMEEZDGE3I3IE443EZVQRNCT34A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 28, 2018",3,Caution is in order,3,0,Verified Purchase,"I just received this camera. It was used or a demo!  I’m trying to add more pictures. I’m not a happy camper right now.
"
B077966DHV,R23QX4LJF6R0AW,Charles N.,/gp/profile/amzn1.account.AHR3W7VIBNF4NPUJAP466C3NCVHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"April 26, 2019",5,Hmmmm,,0,Verified Purchase,"If it had a plug-in for earphones it would be perfect for what it is. Another reason I stick with Canon
"
B077966DHV,R25KWX28EJQAE1,Kevin Plant,/gp/profile/amzn1.account.AH2YQBBS7LQJ5XFMQTZZ5BBTOGRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"March 22, 2019",5,"Let the haters hate, this is a very capable camera.",,0,Verified Purchase,"Good in low light, fast focus, everything I needed it to be and more. A worthy full frame upgrade for anyone that isn’t ready to go mirrorless.
"
B077966DHV,R2JC486K72RTDQ,Kyle Heinemann,/gp/profile/amzn1.account.AGQ67UW2TDF2GPUBSVZLWUH5GK6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"February 9, 2018",5,much better than the original 6D,2,0,Verified Purchase,"much better than the original 6D...well worth the cost to upgrade...to get higher shutter speed, much faster/better focusing, faster wi-fi, and less GPS drain
"
B077966DHV,R2KW0L8QXA7TA6,josebl24,/gp/profile/amzn1.account.AFWWMMURTAZWFXZS3H2MPSNKDVLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"January 19, 2019",5,Ok,One,0,Verified Purchase,"Ok
"
B077966DHV,R2OZ6CDBTG4T0O,Paulie Mendonca,/gp/profile/amzn1.account.AFWWIABOWIS4WBMCNMVICBX2QCAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"February 15, 2018",5,"Took some figuring out at first, but this camera ...",,0,Verified Purchase,"Took some figuring out at first, but this camera is growing on me every time I shoot with it.
"
B077966DHV,R2QS1D3DAT83XI,Dave Phillips,/gp/profile/amzn1.account.AGMSDJNAXUZOKMNI45ASYZMKHCCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"January 19, 2019",5,"Great camera, completely satisfied",2,0,Verified Purchase,"After spending hours watching reviews and reading specs, I made the leap to purchase this camera. There are a lot of great things about it, but one of my favorites is the wifi interface that connects to my phone. On location, I was able to review photos at various times during the day, save them to my phone, then AirDrop them to the group's journalist for their social media campaign. VERY happy with this purchase.
"
B077966DHV,R35Z7C812XVDPK,Keith E. Tucker,/gp/profile/amzn1.account.AFR4Y3DJSUY6ZXXEUJMQWBKQTMIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"February 6, 2019",2,Still haven't used camera?,,0,Verified Purchase,"I received the camera and the LED screen didn't work,  had to ship to Canon repair center.
"
B077966DHV,R3SRKN7J087055,Ronald Weeks,/gp/profile/amzn1.account.AFYQ4LRNM2FICFC7HLPKHIHMN7QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"April 1, 2018",5,Ordering of this camera and battery grip attachment was easy. I received the camera in the stated amount ...,3,0,Verified Purchase,"Ordering of this camera and battery grip attachment was easy. I received the camera in the stated amount of time.  So far I am exploring the various features and taking my time to learn the camera. I just received my second battery so I haven't had a chance to play with the battery grip attachment. This is my first full frame camera and the clarity of the images are superb. Now to figure out what my next lens will be.
"
ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
B078WPSJ9R,R11DBM17UU7B80,Amazon Customer,/gp/profile/amzn1.account.AFGW4XAGZSSQDTYVMRV3C2GTAK2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"February 27, 2019",5,Just buy it!,,0,Verified Purchase,"Higher mega pixel than my last camera.  Love the deeper grip and tough construction.  Takes great photos.
"
B078WPSJ9R,R1FE8WZ4MBZ5G9,James C.,/gp/profile/amzn1.account.AGQ6BNDRMVS77KAOMBQ6O2KXNNFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"March 15, 2019",5,The low light capability,,0,Verified Purchase,"Lot of new features to learn. Refurbished body seems brand new. Have had Nikon for long time never had any problem.
"
B078WPSJ9R,R24TS3AGOYHO7S,Stephanie,/gp/profile/amzn1.account.AH3QU3AL5BAZNJVDG5W2OTEC7AZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"August 2, 2018",5,Very light,One,0,Verified Purchase,"It’s extremely light which coming from the D200 makes it feel like a toy camera, but I’m excited to save the extra weight on backpacking trips instead of carrying my old brick of a camera around in my bag. Happy with how the camera works, and the video is awesome, just hope the camera is tough cuz I’m gonna put it through the wringer
"
B078WPSJ9R,R341C6YVCK63NM,Hernandez-Sutton,/gp/profile/amzn1.account.AFE27ZELJCPOVJ7MFPT5IKAWJA5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"February 3, 2019",5,Awesomeness,One,0,Verified Purchase,"I LOVE MY CAMERA!!
"
B078WPSJ9R,R3EX07P6J8G9KW,Deylan,/gp/profile/amzn1.account.AFPHOBKPLRZRFXFQQXVWFZXNMOVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"December 15, 2018",5,Great intermediate camera,One,0,Verified Purchase,"I was hesitant about buying this refurbished l, but I have no complaints so far. This is the perfect intermediate level camera and definitely will last a while before needing to seriously upgrade.
"
B078WPSJ9R,R3IMVGI9YUWP7K,Sebastian Villa,/gp/profile/amzn1.account.AF5HQPQGTIRHLMF4WMDU3LJ67WVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"December 18, 2018",5,The best Camara,2,0,Verified Purchase,"Muy buena cámara y todos los productos llegaron a tiempo
"
B078WPSJ9R,R3WVN4ZU6CXYE,lwhewett,/gp/profile/amzn1.account.AGUNZS6DHM56QE2ZU6A32LAGZNHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 27, 2018",5,So far the images are very good with great color,6,0,Verified Purchase,"I have only had this camera a few months so I haven't been able to explore all its features but so far I'm loving it.  It isn't a large body as some cameras are but it packs in a lot of features.  So far the images are very good with great color.  It also does an excellent job with video recording.  The ability to move the view screen is helpful also.  Loving it so far.https://smile.amazon.com/dp/B078WPSJ9R/ref=cm_cr_ryp_prd_ttl_sol_0
"
B078WPSJ9R,R83FFY0RXX8EI,Adrian costa,/gp/profile/amzn1.account.AGWAKFLBWCIL4QT7ZUB7ZZ2XZWXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"March 17, 2019",5,amazing camera,4,0,Verified Purchase,"this camera is replacing the Nikon d5500.Although I'm losing some megapixels, I gain it in speed to access functions, speed in shooting and new options.the double dial, vs. the 5500 is a radical change.In my case I bought for the first time one that is body only. and that's right, it doesn't even bring the battery.Keep that in mind.
"
B078WPSJ9R,RGZHFPQ09WTVX,Davew,/gp/profile/amzn1.account.AGVJ3T24RRBF5APS3JDTTMD4PKWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"March 14, 2019",1,arrived not working at all,One,1,Verified Purchase,"Mine arrived and was giving ERR ERR ERR on taking pictures  could not read or write to a memory card, the same card worked fine in my other d7500 be careful on this item
"
B078WPSJ9R,RYTHNZXN87TRT,Jurgen Lobert,/gp/profile/amzn1.account.AE2WQFTDIIOD7QWMTLJYGRKQYVLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"May 29, 2019",5,Very good upgrade!,,0,Verified Purchase,"I got this for my brother who I upgrade from a D7000 to this model. This is a very nice upgrade to the older versions. The 7xxx camera models have always been a prosumer approach, not quite professional as the D500, but very capable and, with the two command dials, very similar to the pro models.For the D7500, Nikon chose to not increase, but rather reduce the number of megapixels, which directly benefits image quality. I ran several long exposure tests and the camera produced clean images. For this model, Nikon finally enabled the LiveView to be high enough to see through 10-stop ND filters, or to be able to focus at night, as its ISO 1M gives you a bright enough image. If run in video LiveView, you can now also have two sets of parameters, one for high ISO focusing, the other for shooting, something not even the D6xx series can do (only starting with the D750 and higher).Together with the tilting screen, latest processor and familiar feel, this is a highly recommended upgrade to any D3xxx, D5xxx or D7xxx owner.
"
ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
B07BR725NW,R1TJHGVT2UDDQX,Amazon Customer,/gp/profile/amzn1.account.AGFQ7IMHK6Q6BSTVE2RMB5EIVCVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"October 14, 2018",1,Poor customer service for,3,0,Verified Purchase,"The CF card slot shows card read error. Amazon originally cancelled the order, then reinstated it, now says high value item and pushes to manufacturer. Beach camera does not return calls. High value items still better to buy in person from reputable stores.
"
B07BR725NW,R1XIUAZOINKH8S,Susanne Butler,/gp/profile/amzn1.account.AE43BYLBKR7MSO32UAGNEKWC5V4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 13, 2018",5,This camera is amazing. Lots of goodies,2,1,Verified Purchase,"So far, daughter is LOVING her purchase!!  This camera is amazing.  Lots of goodies.Thank you.
"
B07BR725NW,R2E6PAH9RTF2P7,Robin Bryan,/gp/profile/amzn1.account.AG65C3QEZVR2JUYFK4VA45MWQTCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"December 22, 2018",5,Canon EOS 5D Mark IV,2,0,Verified Purchase,"I have only had the camera for a few days.  What a great camera!
"
B07BR725NW,R2NJHZ20P67FFL,A,/gp/profile/amzn1.account.AFN4MTZSVRS3AZOWITKMFCLAXACA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"September 3, 2018",5,Shoots great!,,2,Verified Purchase,"Amazing camera! All the extras that came with the camera were kind of cheap. The flash and grip are pretty good! I am very happy with the purchase!(Note: the lens was not included)
"
B07BR725NW,R3EOM8MLATCU6F,Happy Consumer,/gp/profile/amzn1.account.AHHZNWWQVRBW3TZT3JK3LBBG4L5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 4, 2018",5,Great camera,2,2,Verified Purchase,"Simply an amazing camera.  I upgraded from my Canon 80D which I also love.Beach is an incredibly good company to work with.  They helped me get my camera sooner, the included accessories are pretty impressive as a rule.  A little issue in that they sent me a backpack instead of the case they show in this photo.  The mic cover was fury instead of the foam.  The Batteries are generic Vivitar batteries and had a compatibility issue with the camera.I wrote to them as a heads up to let them know.  Wasn't expecting them to fix the battery issue.  Much to my surprise replacement batteries showed up.  I have to test them still, but here's hoping.customer service is quick to respond and friendly.I did not write to them to get the case issue fixed... I will make due with what I have.
"
B07BR725NW,R3JH9QEH3147T1,James Ziemer,/gp/profile/amzn1.account.AEODAACQGXHYWBCQ6XKXHPT4C2MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"July 10, 2018",5,Great package as a go-along for this camera.,3,1,Verified Purchase,"The camera speaks for itself as a 5  star. I looked at many other packages before settling on this one, mainly for the hard case, mem cards and batteries. I was also pleasantly surprised to find the battery pack was original Canon product. Many others used the Vivitar battery pack. The rest of the stuff was ok if you don't already have it, but I already had a much better mono and tripod and a Canon high quality flash. All in all I found it to be the best package out there for this camera purchase.
"
B07BR725NW,R3QXEE3KP5DOEF,Amazon Customer,/gp/profile/amzn1.account.AHK7DW7XH7IA4E6FCBXNLCYTWNEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"August 29, 2018",4,solid deal,One,0,Verified Purchase,"Pros: great camera, extra batteries, bonus goodies.Cons: based on other reviews and my own experience, one or two extras might not show up in the box.  (I was shorted one SD card.)Bottom line, this is a great price for just the camera body, so missing an item or two doesn't really matter that much.
"
B07BR725NW,R8ED1EODAMD8G,Carol J. Berlauk,/gp/profile/amzn1.account.AFJIQ63F5TB5YGHJVDKGUZTGSH3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 26, 2018",5,I am in love with this camera,One,0,Verified Purchase,"I am in love with this camera! I had the 5D mark II but the mark IV is amazing and so responsive.  To get all the added extras for the same price as the camera alone, is a no brainer.  Great deal!
"
B07BR725NW,REBSFIPAIOEXH,heATHER SHANER,/gp/profile/amzn1.account.AGGZIVUSGY72AZRUB25SM53AQWSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"August 25, 2018",5,Great 5D Mark 4 bundle,One,1,Verified Purchase,"I loved this bundle. I mainly got it for the camera and the battery pack. Everything else was just a bonus and I may or may not use it. I really wish the batteries though were canon batteries as the ones that came don’t really work well with the camera.  They do work on my 5d mark 3 though.
"
B07BR725NW,RU6N16VK26GIK,lilly,/gp/profile/amzn1.account.AGWYLAC5DOREJV6HCFZE7W7XUKEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 19, 2018",3,"Camera is ok, but other items are defective and cheap plastic",7,0,Verified Purchase,"The camera arrived in good condition as expected. One of the batteries included in the bundle does not charge and is defective and so is one of the SD cards. The tripods and other accessories are cheap plastic and I would never ever trust putting my camera with an expensive lens on those. The case is a nice gadget to have to store other back-up cameras, but too bulky to bring anywhere. Additional battery pack extension is cheap chinese stuff and looks really flaky. I have not tried the microphone yet - so I can’t comment on that. In sum, very disappointing for a bundle deal.
"
ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
